date,country,region,place_type,geo_code,cases,deaths
2020-03-22,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-21,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-20,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-19,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-18,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-17,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-16,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-15,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-14,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-13,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-12,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-11,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-10,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-09,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-08,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-07,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-06,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-05,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-04,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-03,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-02,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-03-01,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-02-29,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-02-28,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-02-27,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-02-26,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-02-25,Northern Ireland,Causeway Coast and Glens,lgd,N09000004,,
2020-04-15,Northern Ireland,Derry City and Strabane,lgd,N09000005,133,
2020-04-14,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-04-13,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-04-12,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-04-11,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-04-10,Northern Ireland,Derry City and Strabane,lgd,N09000005,77,
2020-04-09,Northern Ireland,Derry City and Strabane,lgd,N09000005,52,
2020-04-08,Northern Ireland,Derry City and Strabane,lgd,N09000005,52,
2020-04-07,Northern Ireland,Derry City and Strabane,lgd,N09000005,52,
2020-04-06,Northern Ireland,Derry City and Strabane,lgd,N09000005,51,
2020-04-05,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-04-04,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-04-03,Northern Ireland,Derry City and Strabane,lgd,N09000005,35,
2020-04-02,Northern Ireland,Derry City and Strabane,lgd,N09000005,30,
2020-04-01,Northern Ireland,Derry City and Strabane,lgd,N09000005,29,
2020-03-31,Northern Ireland,Derry City and Strabane,lgd,N09000005,24,
2020-03-30,Northern Ireland,Derry City and Strabane,lgd,N09000005,23,
2020-03-29,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-28,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-27,Northern Ireland,Derry City and Strabane,lgd,N09000005,9,
2020-03-26,Northern Ireland,Derry City and Strabane,lgd,N09000005,8,
2020-03-25,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-24,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-23,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-22,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-21,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-20,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-19,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-18,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-17,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-16,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-15,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-14,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-13,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-12,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-11,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-10,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-09,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-08,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-07,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-06,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-05,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-04,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-03,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-02,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-03-01,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-02-29,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-02-28,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-02-27,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-02-26,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-02-25,Northern Ireland,Derry City and Strabane,lgd,N09000005,,
2020-04-15,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,61,
2020-04-14,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-04-13,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-04-12,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-04-11,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-04-10,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,52,
2020-04-09,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,43,
2020-04-08,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,43,
2020-04-07,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,43,
2020-04-06,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,42,
2020-04-05,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-04-04,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-04-03,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,40,
2020-04-02,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,37,
2020-04-01,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,32,
2020-03-31,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,29,
2020-03-30,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,27,
2020-03-29,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-03-28,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-03-27,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,17,
2020-03-26,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,15,
2020-03-25,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-03-24,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
2020-03-23,Northern Ireland,Fermanagh and Omagh,lgd,N09000006,,
